Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell","BHAA-3",30.860000,14.870000,180.000000,bottom
"C22","100nf","C_0402_1005Metric",14.920000,7.440000,90.000000,bottom
"C23","10uf","C_0805_2012Metric",58.930000,44.660000,-90.000000,bottom
"C26","10uf","C_0805_2012Metric",2.490000,44.650000,-90.000000,bottom
"D1","LED","LED_0805_2012Metric",22.826190,33.205000,180.000000,bottom
"J1","ON/OFF","PinHeader_1x02_P2.54mm_Vertical",28.660000,25.120000,-90.000000,bottom
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",5.920000,28.580000,-90.000000,bottom
"J6","2337019-1","23370191",57.970000,25.935000,90.000000,bottom
"J7","FAN","PinHeader_1x02_P2.54mm_Vertical",41.285000,54.840000,-90.000000,bottom
"Q1","BCX56","SOT-89-3",26.130000,52.970000,0.000000,bottom
"R13","10KΩ","R_0402_1005Metric",18.750000,33.580000,0.000000,bottom
"R14","10KΩ","R_0402_1005Metric",16.210000,33.580000,0.000000,bottom
"R15","10KΩ","R_0402_1005Metric",13.670000,33.580000,0.000000,bottom
"R16","10KΩ","R_0402_1005Metric",11.130000,33.580000,0.000000,bottom
"R17","10KΩ","R_0402_1005Metric",8.590000,33.580000,0.000000,bottom
"R18","10KΩ","R_0402_1005Metric",6.050000,33.580000,0.000000,bottom
"R19","10KΩ","R_0402_1005Metric",54.340000,33.580000,0.000000,bottom
"R20","10KΩ","R_0402_1005Metric",51.800000,33.580000,0.000000,bottom
"R21","10KΩ","R_0402_1005Metric",49.260000,33.580000,0.000000,bottom
"R22","10KΩ","R_0402_1005Metric",46.720000,33.580000,0.000000,bottom
"R23","10KΩ","R_0402_1005Metric",44.200000,33.580000,0.000000,bottom
"R24","10KΩ","R_0402_1005Metric",41.640000,33.580000,0.000000,bottom
"R25","10KΩ","R_0402_1005Metric",39.100000,33.580000,0.000000,bottom
"R26","10KΩ","R_0402_1005Metric",36.560000,33.580000,0.000000,bottom
"R27","10KΩ","R_0402_1005Metric",34.020000,33.580000,0.000000,bottom
"R28","10KΩ","R_0402_1005Metric",31.470000,33.580000,0.000000,bottom
"R29","10KΩ","R_0402_1005Metric",28.940000,33.580000,0.000000,bottom
"R30","10KΩ","R_0402_1005Metric",26.410000,33.580000,0.000000,bottom
